ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
448-11-7826|4243864908108186611|Julie|Cortez|F|4918 Daniel Shore Suite 226|Mission|TX|78572|26.2644|-98.3909|167182|Armed forces technical officer|1983-12-06|455624263623|adults_2550_female_urban.json
322-76-7455|4945232194168000|James|Smith|M|6974 Vazquez Spurs Suite 412|Clearfield|UT|84015|41.1294|-112.0482|62494|Control and instrumentation engineer|1997-02-16|206218026842|adults_2550_male_urban.json
836-03-3084|567236831473|Brittany|Henderson|F|27770 Richards Flats|Saranac Lake|NY|12983|44.3243|-74.133|7494|Hospital pharmacist|1981-10-22|912978751951|adults_2550_female_urban.json
053-43-0130|2367998407678992|Timothy|Stein|M|08069 Tran Grove Suite 717|East Elmhurst|NY|11370|40.7611|-73.8916|78303|Writer|1970-04-30|712702425539|adults_50up_male_urban.json
460-90-7148|503843757389|Daniel|Stout|M|724 Moyer Village Suite 729|Cincinnati|OH|45206|39.1269|-84.4853|795220|Engineer, maintenance (IT)|2001-10-19|757127388601|young_adults_male_urban.json
684-62-2116|4297167433800548|Heather|Moore|F|56193 Anna Oval|Franklin|OH|45005|39.5357|-84.303|29963|Further education lecturer|1973-12-07|377929904094|adults_2550_female_urban.json
788-06-9127|4891077119918081211|Seth|Bartlett|M|478 Oconnor Courts|Thousand Oaks|CA|91362|34.1948|-118.8232|78447|Designer, exhibition/display|1967-02-01|402211201664|adults_50up_male_urban.json
839-18-2015|4603754821459|Mike|Perry|M|86326 Hardin Mount|Eielson Afb|AK|99702|64.6735|-147.0805|2647|Scientist, clinical (histocompatibility and immunogenetics)|1970-05-21|750737122054|adults_50up_male_urban.json
031-57-2386|060481155624|Jeffrey|Long|M|290 Barnes Springs|San Francisco|CA|94115|37.7856|-122.4358|805301|Surgeon|1981-04-22|334464334871|adults_2550_male_urban.json
353-02-4584|213167389975632|Stanley|Miller|M|2884 Christopher Plaza Suite 852|Pryor|OK|74361|36.2921|-95.3129|16293|Advice worker|1996-09-03|975077368094|adults_2550_male_urban.json
607-34-3955|4810548510174907530|Robert|Zhang|M|4492 Stone Gateway|Beaverton|OR|97006|45.5201|-122.8604|183865|Civil Service fast streamer|1992-05-16|568343775055|adults_2550_male_urban.json
198-47-7444|5566110627371588|Jennifer|Hansen|F|9767 Dennis Mall Apt. 282|San Diego|CA|92117|32.8239|-117.1965|1241364|Radio producer|1992-10-25|505565542051|adults_2550_female_urban.json
722-66-8670|2237702851961153|Kenneth|Williams|M|54544 Johnson Divide|Houston|TX|77040|29.8744|-95.5278|2906700|Curator|1990-05-26|647611457541|adults_2550_male_urban.json
050-40-4645|4701851067941|Keith|Mccullough|M|9228 Gill Shores Suite 251|Passaic|NJ|07055|40.8601|-74.1283|69816|Youth worker|1969-05-08|426961102589|adults_50up_male_urban.json
405-44-8864|676374120944|Justin|Martinez|M|98909 Karen Parkway|Brownsville|TX|78521|25.9221|-97.4612|195686|Advertising account executive|1993-12-03|722071118016|adults_2550_male_urban.json
185-03-4505|4971895690707|Gina|White|F|564 Danny Courts|Houston|TX|77006|29.7409|-95.3923|2906700|Special educational needs teacher|1974-02-04|314254837099|adults_2550_female_urban.json
188-33-1469|4620952004615260|Steven|Scott|M|33993 Romero Parkways|Charlotte|NC|28262|35.3183|-80.7476|790689|Musician|1980-11-24|128631509102|adults_2550_male_urban.json
063-41-7616|180017063048918|David|Peters|M|9671 Krista Divide|Oakdale|CA|95361|37.7741|-120.8377|31610|Midwife|2000-02-28|859715822589|young_adults_male_urban.json
551-55-9096|30007942007492|David|Frazier|M|398 Williams Streets Apt. 416|Dallas|TX|75248|32.9682|-96.7942|1263321|Community education officer|2002-05-04|153890817581|young_adults_male_urban.json
287-56-3455|3554743553795021|Matthew|Smith|M|02687 Medina Turnpike Apt. 807|Passaic|NJ|07055|40.8601|-74.1283|69816|Community pharmacist|1969-12-07|415807729297|adults_50up_male_urban.json
367-50-2904|3517537030453196|Lori|Stokes|F|75047 Adrian View|Alhambra|CA|91803|34.0745|-118.1434|83057|Occupational hygienist|1962-06-16|953959251417|adults_50up_female_urban.json
583-65-8094|4999219212493846|Corey|Gregory|M|870 Davidson Run Apt. 566|Gilbert|AZ|85296|33.3354|-111.7406|211167|Graphic designer|1965-06-08|747847083031|adults_50up_male_urban.json
478-64-5923|213130468750631|George|Beard|M|361 James Isle|Pittsburgh|PA|15217|40.4308|-79.9205|687276|Insurance risk surveyor|1974-08-20|687464680805|adults_2550_male_urban.json
100-04-7864|6011954317350587|Robert|Harding|M|79110 Nicholas Vista Apt. 207|Newport|NH|03773|43.3532|-72.1838|7841|Automotive engineer|1969-04-10|671309706583|adults_50up_male_urban.json
443-09-1669|4804661963990766|Julie|Patterson|F|0785 Daniel Bridge|Broomfield|CO|80023|39.9619|-105.0148|92337|Therapist, nutritional|1988-04-21|76078041630|adults_2550_female_urban.json
809-25-9392|4567972320024968|Jose|Pearson|M|9822 Parker Junctions Suite 508|Mount Vernon|MO|65712|37.1045|-93.7976|8494|Theatre director|1929-03-04|745854042587|adults_50up_male_urban.json
059-31-8309|213165333153777|Kyle|Rivera|M|465 Daniel Wells Apt. 730|Orange|NJ|07050|40.7692|-74.2355|30074|Environmental health practitioner|1992-12-02|252085462815|adults_2550_male_urban.json
639-28-3917|30563620501503|Kristen|Thomas|F|95003 Justin Forges Suite 258|Bradford|OH|45308|40.1286|-84.4293|4682|Financial trader|1984-11-15|215515194408|adults_2550_female_urban.json
181-34-1658|676326153472|David|Pacheco|M|961 Drew Curve|Canyon Country|CA|91351|34.4262|-118.449|72690|Energy manager|1963-09-24|584938817144|adults_50up_male_urban.json
712-48-5210|3530993842530429|Sarah|Schmitt|F|17912 Potter Rue Suite 787|Daytona Beach|FL|32127|29.1135|-80.9765|145713|Editorial assistant|1984-11-13|783066267688|adults_2550_female_urban.json
539-89-7919|3574969033373636|Elizabeth|Oneal|F|4812 Kenneth Path|Surry|VA|23883|37.126|-76.7651|2551|Management consultant|1983-09-20|640938732280|adults_2550_female_urban.json
477-66-5512|6576657546027341|Maria|Howard|F|8881 House Courts|Newton Highlands|MA|02461|42.3168|-71.2084|7059|Commissioning editor|1983-05-26|395443431480|adults_2550_female_urban.json
560-26-5469|4444392840449|Samantha|Logan|F|9078 Michelle Forks Apt. 373|New Ulm|TX|78950|29.9134|-96.4961|2038|Scientist, clinical (histocompatibility and immunogenetics)|1975-04-20|865809587905|adults_2550_female_rural.json
776-60-7560|345366377805295|Shane|Torres|M|5536 Jennings Lodge|Westfield|MA|01085|42.1537|-72.7698|41804|Soil scientist|2007-10-20|357769217573|young_adults_male_urban.json
024-73-0528|4599996636186379|Brian|Hudson|M|412 Emily Fall Apt. 970|Phoenix|AZ|85042|33.3794|-112.0283|1312922|Embryologist, clinical|1977-12-21|73869137112|adults_2550_male_urban.json
291-27-3819|4705802566212867162|Tina|Glenn|F|46729 Matthews Parkway|Gansevoort|NY|12831|43.1803|-73.7053|17416|Proofreader|1972-02-16|220226342085|adults_50up_female_urban.json
147-58-1049|6011859777901474|Hannah|Kirby|F|9263 Rachel Street Suite 762|Demotte|IN|46310|41.1713|-87.2491|13565|Teacher, adult education|2003-04-02|429907045757|young_adults_female_urban.json
246-21-4486|4137681511856721|David|Hunter|M|17656 Randy Branch Suite 125|Riverside|CA|92501|33.9924|-117.3694|419138|Psychologist, forensic|1979-06-26|508888165985|adults_2550_male_urban.json
085-71-3970|3527422091241863|Christopher|Powers|M|427 Thompson Station|Philadelphia|PA|19145|39.9227|-75.1812|1526206|Animal nutritionist|1988-04-28|742568439415|adults_2550_male_urban.json
222-57-0783|4647090063353314|Alexis|Johnson|F|3131 Jennifer Cape|Trenton|NJ|08629|40.2196|-74.7334|270100|Pathologist|1943-02-10|118165288182|adults_50up_female_urban.json
331-72-3106|3586613315520656|Adam|Lewis|M|49501 Robert Trafficway|Babylon|NY|11702|40.6642|-73.341|14498|Tour manager|1980-02-17|115923204408|adults_2550_male_urban.json
811-73-2810|4956252571509976837|Jonathan|Bush|M|09143 Todd River|Hellertown|PA|18055|40.5817|-75.3255|11780|Cartographer|1962-03-30|150581222763|adults_50up_male_urban.json
511-38-3310|4303975245086409|Crystal|Quinn|F|38033 Boyd Falls Suite 017|Olive Branch|MS|38654|34.9441|-89.8544|45956|Building control surveyor|1939-09-28|214549341145|adults_50up_female_urban.json
650-19-3346|4298338167423364|Christopher|Wright|M|734 Miller Lake Suite 627|Millerton|OK|74750|33.9801|-95.0025|364|Prison officer|1966-10-09|555866252092|adults_50up_male_rural.json
753-56-2554|30066149828241|James|Torres|M|8971 Taylor Mountains Apt. 230|Saint Francisville|LA|70775|30.8694|-91.4186|14720|Administrator, Civil Service|1988-09-25|553456594481|adults_2550_male_urban.json
504-52-6813|6567491601692364|Tyler|Wise|M|750 House Street Apt. 370|Broadview Heights|OH|44147|41.3141|-81.6731|19480|Medical illustrator|1967-09-25|775804034529|adults_50up_male_urban.json
715-86-2423|4243992011669183625|Ronald|King|M|869 Gross Terrace Apt. 195|Fort Thomas|KY|41075|39.0786|-84.4523|16459|Customer service manager|1987-12-17|821494191375|adults_2550_male_urban.json
767-51-5048|503870116863|Matthew|Quinn|M|52237 Wayne Creek|Bronx|NY|10472|40.8295|-73.8716|1382480|Production designer, theatre/television/film|1991-02-16|895788839714|adults_2550_male_urban.json
191-26-0967|3534679121416143|Austin|Johnson|M|7100 Walton Avenue|Denver|CO|80228|39.6888|-105.156|990452|Television floor manager|1968-03-26|103258999645|adults_50up_male_urban.json
535-01-6155|3577596555535669|Lisa|Hester|F|07620 Misty Harbors Apt. 579|Van Nuys|CA|91406|34.2006|-118.4868|166616|Public relations officer|1964-03-08|453183104890|adults_50up_female_urban.json
193-01-5279|676350573975|James|Salazar|M|6716 Lawson Station|Las Vegas|NV|89118|36.0811|-115.2169|1417793|Customer service manager|1977-06-19|574966665129|adults_2550_male_urban.json
804-92-8268|503871487271|Tina|Olson|F|32116 Ethan Islands|Draper|UT|84020|40.5046|-111.881|39765|Music therapist|1990-06-17|308233949370|adults_2550_female_urban.json
737-33-7804|4287153991566863|Rhonda|Walker|F|1115 Julie Crescent|Elyria|OH|44035|41.3724|-82.1051|64263|Teacher, primary school|1944-07-01|139018371982|adults_50up_female_urban.json
390-74-0028|4983665528993160877|Ethan|Cabrera|M|77294 Julie Vista Apt. 954|Rockwell|NC|28138|35.5494|-80.4226|10495|Retail buyer|1975-08-30|760167701011|adults_2550_male_urban.json
281-91-9404|30374605233025|Scott|Luna|M|208 Rogers Springs Suite 566|Baltimore|MD|21223|39.287|-76.6476|635495|Building surveyor|1983-03-14|801130991631|adults_2550_male_urban.json
290-90-3197|3512590472927743|Stephanie|Clark|F|059 Erika Walks|Litchfield|CT|06759|41.7541|-73.2|5720|Data scientist|1970-08-18|472372101972|adults_50up_female_urban.json
058-13-5826|30201859626309|Barbara|Sanders|F|926 Kimberly Way Suite 475|Hamtramck|MI|48212|42.4081|-83.0583|39038|Administrator, arts|1966-09-21|125069449315|adults_50up_female_urban.json
125-63-8352|4999741926769|Edwin|Martinez|M|82606 Brown Villages Apt. 312|Dallas|TX|75211|32.7319|-96.9057|1263321|Tour manager|1983-10-23|200554425137|adults_2550_male_urban.json
569-58-5150|5229321840118453|Tracy|Jackson|F|40848 Taylor Overpass|New Orleans|LA|70119|29.9746|-90.0852|382333|Intelligence analyst|1973-03-07|667232262429|adults_2550_female_urban.json
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Oxnard|CA|93033|34.1685|-119.1717|211523|Building services engineer|1973-04-24|805862859182|adults_2550_female_urban.json
649-90-3157|3598926256609312|Devin|Schmidt|M|51554 Misty Fork Suite 016|Ellinger|TX|78938|29.8459|-96.6966|471|Environmental education officer|1990-03-01|859444442469|adults_2550_male_rural.json
180-68-5023|3518594849102562|Christopher|Shaffer|M|9240 Diane Divide Suite 940|Omaha|NE|68138|41.1549|-96.1376|518429|Metallurgist|1955-03-14|857737191645|adults_50up_male_urban.json
695-78-6853|3527578446834148|Jennifer|Edwards|F|113 Frederick Centers|Chicago|IL|60613|41.9543|-87.6575|2680484|Chartered accountant|2002-06-22|316725531904|young_adults_female_urban.json
505-02-6947|4778816093068535|Zachary|Guerrero|M|728 Gregory Lakes|Danville|KY|40422|37.6465|-84.7747|24280|Contracting civil engineer|1973-11-08|388753314711|adults_2550_male_urban.json
433-64-6212|4153814474430965|Claudia|Torres|F|9705 Christina Isle|Alpena|AR|72611|36.2998|-93.2792|1696|Hydrogeologist|1937-09-24|117484074773|adults_50up_female_rural.json
359-93-3051|6501673188261700|Christopher|Douglas|M|6545 Mcclain Plain|Etna Green|IN|46524|41.2918|-86.035|2326|Geophysical data processor|1966-03-05|723438158429|adults_50up_male_rural.json
166-18-5796|3505313402665021|Mary|Vaughan|F|67872 Potter Tunnel Suite 862|Fountain Valley|CA|92708|33.7102|-117.9503|56004|Clinical molecular geneticist|1948-12-13|120077315263|adults_50up_female_urban.json
130-20-5639|213130569067448|John|Hodges|M|282 Juan Crescent|Elberta|AL|36530|30.3942|-87.589|6873|General practice doctor|1962-09-19|773069447547|adults_50up_male_urban.json
683-55-3251|30189239231264|Andrew|Mooney|M|0931 Omar Pine|Timmonsville|SC|29161|34.1012|-79.9378|11383|Information officer|1995-06-01|698791861372|adults_2550_male_urban.json
228-44-6981|30086041454565|David|Jacobson|M|00534 Ramirez Rest|Wentzville|MO|63385|38.802|-90.8534|35750|Chiropractor|1959-11-16|203714196644|adults_50up_male_urban.json
504-47-5477|4108255598953439611|Stacy|Anderson|F|93371 Shelly River|Hanover|MA|02339|42.1214|-70.857|13879|Lobbyist|1986-08-01|795863781117|adults_2550_female_urban.json
780-26-8742|3502368485571614|John|Mills|M|94240 Laura Square|Bolivar|MO|65613|37.6085|-93.4126|17396|Energy manager|1989-02-19|896534545111|adults_2550_male_urban.json
507-88-8724|213127868669437|Clinton|Moore|M|087 Turner Forges|Conroe|TX|77303|30.3814|-95.3749|130233|Housing manager/officer|1989-07-10|295099706923|adults_2550_male_urban.json
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Gwynn Oak|MD|21207|39.3296|-76.7341|48133|Stage manager|1992-10-14|791408017807|adults_2550_male_urban.json
419-79-4832|340534240891645|Sheila|Walters|F|3543 Moore Fort|Clarksville|TX|75426|33.6236|-95.0461|5301|Politician's assistant|1994-07-18|160497086732|adults_2550_female_urban.json
096-64-2974|30223972404224|Robert|Mcdaniel|M|21637 Garcia Pine|Orlando|FL|32822|28.4944|-81.2902|878243|Copywriter, advertising|1966-04-18|827755151135|adults_50up_male_urban.json
618-13-6192|6011100231429004|Tyler|Rodriguez|M|132 Malone Mills Apt. 457|Granada|MN|56039|43.7061|-94.3307|957|Designer, fashion/clothing|1977-05-26|61176693233|adults_2550_male_rural.json
709-35-8907|5101841862030362|James|Gomez|M|61721 Cristian Haven Suite 195|Davisboro|GA|31018|32.9443|-82.6227|2837|Commissioning editor|1939-06-29|983911742501|adults_50up_male_urban.json
620-20-2918|6592624945147542|Rita|Dawson|F|22526 Griffith Turnpike|Chicago|IL|60628|41.6934|-87.6243|2680484|Purchasing manager|1973-06-22|76513338142|adults_2550_female_urban.json
592-55-4563|4522655767695234|James|Dunn|M|836 Bianca Manor Apt. 135|Bayonne|NJ|07002|40.6664|-74.1192|63031|Accountant, chartered|1962-11-07|20833147382|adults_50up_male_urban.json
572-61-2189|5255247286333024|Autumn|Dominguez|F|0650 Elizabeth Cliffs|Upper Darby|PA|19082|39.9578|-75.2681|40997|Publishing rights manager|1993-04-30|656431794367|adults_2550_female_urban.json
031-19-5985|4310962272847656|Jeremy|Newman|M|1200 Wesley Branch|Tucson|AZ|85746|32.1422|-111.0506|865276|Occupational hygienist|1980-05-19|467432801736|adults_2550_male_urban.json
568-92-4228|3536241862369037|Jenna|Carson|F|775 Wilcox Expressway|Millsboro|DE|19966|38.6595|-75.2464|24601|Audiological scientist|1946-06-16|411472208977|adults_50up_female_urban.json
435-25-4423|5415950342811399|Adam|Browning|M|303 Miller Port|Columbus|GA|31903|32.4245|-84.9481|173903|Systems analyst|1987-01-01|618668025286|adults_2550_male_urban.json
047-07-5155|2260546835652150|Jennifer|Figueroa|F|209 Woods Ways|Memphis|TN|38108|35.1787|-89.9682|697385|Applications developer|1967-06-17|177339712408|adults_50up_female_urban.json
699-60-1291|4332288985725458|Loretta|Bentley|F|633 Susan Port|Allston|MA|02134|42.3535|-71.1329|21503|Research scientist (medical)|1953-02-26|885181618728|adults_50up_female_urban.json
147-99-5072|213171752421497|Jack|Davis|M|747 Hines Mills|Dayton|OH|45420|39.7171|-84.1342|479994|Counselling psychologist|1954-07-04|137180523039|adults_50up_male_urban.json
500-06-5956|4692758955168740909|Patrick|Sanchez|M|14629 Nash Fork|Houston|TX|77015|29.7853|-95.1852|2906700|Network engineer|1982-05-08|510560624736|adults_2550_male_urban.json
096-45-7633|38112166365154|Grace|Munoz|F|714 Johnson Drives|Pompano Beach|FL|33076|26.3168|-80.2753|425636|Psychotherapist, dance movement|1963-10-07|700704646267|adults_50up_female_urban.json
328-73-0514|3505673030644213|Brenda|Hill|F|7683 White Center|Chicago|IL|60640|41.9719|-87.6624|2680484|Chief Executive Officer|2001-04-06|991686287359|young_adults_female_urban.json
351-97-4865|4567782659608939|Angela|Contreras|F|5027 Victor Island|Houston|TX|77070|29.9781|-95.5803|2906700|Clothing/textile technologist|1956-07-31|449571171860|adults_50up_female_urban.json
534-93-0061|30279103368290|Jamie|Bailey|F|905 Smith Inlet|Orlando|FL|32817|28.5891|-81.2277|878243|Retail buyer|1978-12-09|957000539170|adults_2550_female_urban.json
717-64-7472|6555868512765286|Linda|Daniels|F|6491 Linda Cove Apt. 096|Flagstaff|AZ|86004|35.2257|-111.5741|84499|Civil Service administrator|1975-03-30|822470796467|adults_2550_female_urban.json
558-13-7277|213146337861375|Tiffany|Bell|F|6053 Adams Shoals Suite 463|Otis|OR|97368|45.0138|-123.9332|3435|Accountant, chartered management|1983-03-23|36140245674|adults_2550_female_urban.json
027-20-6135|180052963863967|Sandra|Solis|F|62658 Samuel Courts Apt. 819|Mentor|OH|44060|41.6895|-81.3421|60211|Nurse, children's|2001-07-12|841139412121|young_adults_female_urban.json
267-71-2606|341106092098196|James|Newton|M|5233 Lee Ville|Grand Forks|ND|58201|47.901|-97.0446|54948|Financial trader|1958-05-06|857817980840|adults_50up_male_urban.json
789-34-0848|4209117911244211752|Thomas|Clark|M|0617 Jason Manor|Costa Mesa|CA|92627|33.6483|-117.9155|110851|Mining engineer|1973-11-11|347418674161|adults_2550_male_urban.json
462-21-2946|4299015579980284137|Lisa|Herrera|F|51305 Jeffrey Stream|Howell|MI|48855|42.6871|-83.914|57683|Computer games developer|1986-07-22|301797003309|adults_2550_female_urban.json
205-12-5711|3577686342346197|Ricky|Matthews|M|76769 Cabrera Road|San Antonio|TX|78228|29.4589|-98.5699|1595797|Clinical cytogeneticist|1975-05-20|423515109958|adults_2550_male_urban.json
205-73-5783|347208496498560|Allen|White|M|2531 Diane Landing Apt. 510|New York City|NY|10019|40.7651|-73.9858|1577385|Investment banker, operational|1956-08-10|11546128003|adults_50up_male_urban.json
219-60-9298|348164938318495|Tracy|Aguirre|M|665 Gonzalez Causeway|Walnut Ridge|AR|72476|36.0244|-90.9288|7155|Research officer, political party|1980-03-11|49386329864|adults_2550_male_urban.json
432-16-2034|30295963904099|William|Buck|M|60880 Newman Cliff Suite 164|Sussex|NJ|07461|41.2292|-74.5992|19563|Haematologist|1958-05-03|825996040059|adults_50up_male_urban.json
410-11-9117|379064771591038|Anthony|Smith|M|6321 Jennifer Valleys|Palm Harbor|FL|34683|28.0662|-82.7585|74401|Merchandiser, retail|1996-10-07|995642772692|adults_2550_male_urban.json
006-89-0861|4104145964229712525|Nicole|Barron|F|718 Becky Shore Suite 457|Kansas City|KS|66103|39.0668|-94.6282|150224|Equities trader|1988-04-16|288157084137|adults_2550_female_urban.json
729-11-5784|213131170303768|Chelsea|Garcia|F|885 Erickson Shoal|Little Neck|NY|11362|40.7591|-73.7326|24811|Designer, exhibition/display|1970-01-29|557692084425|adults_50up_female_urban.json
134-29-5958|6598363146249120|Joel|Rodriguez|M|07240 Stanley Mission|Englewood|CO|80112|39.5805|-104.9011|99594|Management consultant|1951-08-06|129989670839|adults_50up_male_urban.json
087-46-7070|4686850745102|Matthew|Dennis|M|43629 Moreno Park Suite 103|Berkeley|CA|94710|37.8696|-122.2959|118592|Clinical psychologist|1949-09-21|125497139516|adults_50up_male_urban.json
037-74-4362|4814396661340|Jon|Jackson|M|4940 Jackson Squares|Oceanside|CA|92058|33.2696|-117.3423|188742|Writer|1977-10-22|813796480365|adults_2550_male_urban.json
874-89-3910|4122572076502411|Christopher|Wolf|M|579 Tracy Gateway|New Lebanon|OH|45345|39.7398|-84.3956|6144|Public house manager|1938-05-22|47714449557|adults_50up_male_urban.json
581-88-4763|4211457758471|Dawn|Ellis|F|5897 Joseph Path Apt. 263|Los Angeles|CA|90034|34.029|-118.4005|2383912|Curator|1979-08-04|546994984893|adults_2550_female_urban.json
251-74-7057|341361487824553|James|Butler|M|3098 Flowers Crossing Suite 795|Sacramento|CA|95826|38.5539|-121.3693|757530|Homeopath|1959-01-19|545496644624|adults_50up_male_urban.json
478-88-2462|180098247414077|Andrew|Campbell|M|74065 Brendan Dam|Leesville|LA|71446|31.1256|-93.1736|34664|Maintenance engineer|1995-01-02|313011727974|adults_2550_male_urban.json
682-99-9188|4423691430753662|Jennifer|Strong|F|9429 Shelton Islands Apt. 342|Farmer City|IL|61842|40.2447|-88.6634|2984|Pension scheme manager|1991-01-29|221423962760|adults_2550_female_urban.json
313-11-4872|3582661287585755|Jeffrey|Fisher|M|0806 Katelyn Ridges Suite 398|Poland|ME|04274|44.0474|-70.3899|5343|Midwife|1975-03-30|679151474133|adults_2550_male_urban.json
580-38-0878|6011607870104151|Kristopher|Short|M|501 Jacqueline Path Apt. 872|San Pablo|CA|94806|37.9724|-122.3369|59861|Environmental health practitioner|1998-06-26|742578595436|young_adults_male_urban.json
873-20-4930|4079311029181335|Brian|Johnson|M|0146 Mcgrath Viaduct Apt. 849|Buffalo|NY|14213|42.9167|-78.8895|564824|Print production planner|1948-10-06|725245230756|adults_50up_male_urban.json
127-56-2397|4223288377441971|Holly|Hill|F|176 Hernandez Haven Suite 196|Miami|FL|33179|25.9571|-80.1814|1737737|Administrator, arts|1929-12-30|333205873837|adults_50up_female_urban.json
661-84-7283|582774025883|Christine|Orr|F|122 Rios Port Suite 724|Issaquah|WA|98027|47.4974|-122.0107|50489|Immunologist|1995-02-27|433463032839|adults_2550_female_urban.json
860-83-7926|6592988425995997|Sandra|Jones|F|231 Victor Springs|Altus|OK|73521|34.6484|-99.3205|21636|Publishing copy|1957-04-27|834613761882|adults_50up_female_urban.json
791-94-3877|2227610941017591|Mark|Johnson|M|1762 James Overpass|Bloomington|IN|47401|39.1401|-86.5083|126925|Primary school teacher|1955-11-17|316448246954|adults_50up_male_urban.json
207-95-2656|6011190130205696|Kimberly|Jones|F|873 Ashley Mountains|Orlando|FL|32828|28.5523|-81.1795|878243|Restaurant manager, fast food|1968-09-03|392354307922|adults_50up_female_urban.json
573-18-1101|36619128411738|Amber|Fernandez|F|44651 Tammy Club|Roswell|NM|88203|33.3718|-104.5284|57051|Social researcher|1957-01-16|264464139737|adults_50up_female_urban.json
626-65-5116|6011819740056434|George|Hubbard|M|85037 Linda Port|Ellicott City|MD|21042|39.2726|-76.8614|80322|Travel agency manager|2002-08-13|917847786168|young_adults_male_urban.json
355-10-6820|3587240107835677|Eric|Horn|M|00389 Fleming Street|Dayton|TN|37321|35.5002|-85.0135|19113|Adult nurse|1978-03-15|530653929487|adults_2550_male_urban.json
397-99-6181|3566821719553561|Thomas|Allen|M|036 Vicki Bridge|Stigler|OK|74462|35.2686|-95.1071|7875|Fisheries officer|1961-10-09|63619726599|adults_50up_male_urban.json
059-17-7186|4055934296711142|Todd|Harris|M|74584 Alison Grove Suite 881|Pike Road|AL|36064|32.3357|-86.0959|6753|Audiological scientist|1967-08-10|989331266010|adults_50up_male_urban.json
723-80-7967|4328348315203771070|Russell|Nelson|M|1049 Simpson Wall Suite 670|Alexandria|LA|71303|31.3048|-92.5089|58923|Environmental manager|1968-12-23|417495431869|adults_50up_male_urban.json
676-56-8725|676340850954|Thomas|Solomon|M|59660 Angela Stravenue|Elizabeth|NJ|07201|40.6717|-74.2043|124967|Holiday representative|1959-04-10|588144128828|adults_50up_male_urban.json
435-74-9312|180026732044133|Patricia|Phillips|F|94544 David Port Suite 427|Edgewater|MD|21037|38.9149|-76.5424|20618|Psychologist, counselling|1998-10-09|481110497017|young_adults_female_urban.json
478-05-5878|30360914985173|Catherine|Miranda|F|7232 Monica Shoal Apt. 310|Oklahoma City|OK|73114|35.5704|-97.5257|640470|Educational psychologist|1950-04-20|556990434553|adults_50up_female_urban.json
594-41-0688|213104405809354|Ashley|Hunter|F|133 Hudson Village|Montclair|CA|91763|34.0733|-117.6987|36375|Pathologist|1986-12-24|704681267877|adults_2550_female_urban.json
897-37-2345|589556574905|Caitlin|Williams|F|019 Lindsey Pass|Blue Springs|MO|64014|39.0152|-94.2604|56014|Rural practice surveyor|2000-07-06|639020125593|young_adults_female_urban.json
221-49-9547|676326113989|Zachary|Mccoy|M|180 Hopkins Pike Suite 543|Marion|OH|43302|40.5876|-83.1271|54790|Teaching laboratory technician|1982-09-15|361825349415|adults_2550_male_urban.json
819-99-5931|4513765158819|Suzanne|Valdez|F|6392 Kimberly Lodge|Oklahoma City|OK|73110|35.4605|-97.3974|640470|Television/film/video producer|1973-04-08|153183885482|adults_2550_female_urban.json
267-37-5597|341668297327027|Bryan|Baker|M|120 Johnson Expressway Apt. 288|San Bruno|CA|94066|37.6247|-122.429|41130|Network engineer|1955-08-08|467740236780|adults_50up_male_urban.json
131-52-9125|4155999101577|Susan|Mccoy|F|7229 Edwin Avenue Suite 765|Sacramento|CA|95820|38.5347|-121.4451|757530|Print production planner|1958-01-21|559104764810|adults_50up_female_urban.json
287-99-1588|4750988986457|Janet|Todd|F|36849 Garcia Haven|Saint George|UT|84790|37.0831|-113.5581|74901|Diagnostic radiographer|1930-01-04|314041785631|adults_50up_female_urban.json
499-57-3665|4491342138820901|Toni|Fernandez|F|70534 Dennis Pike|Casa Grande|AZ|85122|32.8906|-111.754|62569|Computer games developer|1985-04-26|501785486564|adults_2550_female_urban.json
113-92-1966|36741241513156|Christopher|Rogers|M|815 Ryan Squares Suite 380|Kansas City|MO|64109|39.0663|-94.5674|545147|Actuary|1976-01-13|151380046815|adults_2550_male_urban.json
386-29-3206|4272742318306178930|Michelle|Williams|F|693 Washington Shoals Apt. 434|Chestertown|MD|21620|39.2125|-76.0802|12853|Radio producer|1931-12-13|873983848429|adults_50up_female_urban.json
402-77-5852|180041314675360|Brian|Marshall|M|156 Kim Orchard Suite 963|Gillette|WY|82718|43.9282|-105.5492|41750|Air cabin crew|1975-06-08|293307311995|adults_2550_male_urban.json
221-53-0997|180045667664046|Karla|Robinson|F|7639 Amanda Tunnel|Durham|NC|27709|36.0512|-78.8577|256789|Clinical molecular geneticist|1960-04-07|672649018684|adults_50up_female_urban.json
133-78-8844|060406155816|Mary|Stone|F|328 Heath Forks Suite 255|Cedar City|UT|84721|37.8788|-113.2045|40666|Patent attorney|1936-03-21|606516448533|adults_50up_female_urban.json
014-05-0329|213186702440330|Andrew|Brady|M|624 Charles Parkways Suite 008|Palo Alto|CA|94303|37.4673|-122.1388|92558|Trade union research officer|1962-06-17|167155722951|adults_50up_male_urban.json
